storeName,date,modelName,number,game,difference,BB,RB,allprobability,BBprobability,RBprobability
アロー池上,2024-07-15,マイジャグラーV,761,6954,-391,23,18,169.6,302.3,386.3
アロー池上,2024-07-15,マイジャグラーV,762,4667,-2195,11,8,245.6,424.3,583.4
アロー池上,2024-07-15,マイジャグラーV,763,6660,-616,23,17,166.5,289.6,391.8
アロー池上,2024-07-15,マイジャグラーV,764,5851,1609,29,14,136.1,201.8,417.9
アロー池上,2024-07-15,マイジャグラーV,765,7651,6843,55,24,96.8,139.1,318.8
アロー池上,2024-07-15,マイジャグラーV,766,6614,1768,32,17,135.0,206.7,389.1
アロー池上,2024-07-15,マイジャグラーV,767,4130,-1437,11,9,206.5,375.5,458.9
アロー池上,2024-07-15,マイジャグラーV,768,6049,431,24,16,151.2,252.0,378.1
アロー池上,2024-07-15,マイジャグラーV,769,7367,709,31,16,156.7,237.6,460.4
アロー池上,2024-07-15,マイジャグラーV,770,6258,431,26,21,133.1,240.7,298.0
アロー池上,2024-07-15,マイジャグラーV,771,7403,-126,28,20,154.2,264.4,370.1
アロー池上,2024-07-15,マイジャグラーV,772,5186,-1384,16,14,172.9,324.1,370.4
アロー池上,2024-07-15,マイジャグラーV,773,6430,1345,27,20,136.8,238.1,321.5
アロー池上,2024-07-15,マイジャグラーV,774,3682,-1662,10,6,230.1,368.2,613.7
アロー池上,2024-07-15,マイジャグラーV,775,7830,1106,34,20,145.0,230.3,391.5
アロー池上,2024-07-15,マイジャグラーV,776,4655,-775,16,9,186.2,290.9,517.2
アロー池上,2024-07-15,マイジャグラーV,777,5705,-364,21,14,163.0,271.7,407.5
アロー池上,2024-07-15,マイジャグラーV,778,7326,510,29,18,155.9,252.6,407.0
アロー池上,2024-07-15,マイジャグラーV,779,5147,-1053,15,14,177.5,343.1,367.6
アロー池上,2024-07-15,マイジャグラーV,780,7517,-2036,18,23,183.3,417.6,326.8
アロー池上,2024-07-15,マイジャグラーV,821,8763,-1778,20,34,162.3,438.1,257.7
アロー池上,2024-07-15,マイジャグラーV,822,7008,-1977,18,21,179.7,389.3,333.7
アロー池上,2024-07-15,マイジャグラーV,823,7804,46,31,14,173.4,251.7,557.4
アロー池上,2024-07-15,マイジャグラーV,824,4810,1119,24,10,141.5,200.4,481.0
アロー池上,2024-07-15,マイジャグラーV,825,7148,788,30,24,132.4,238.3,297.8
アロー池上,2024-07-15,マイジャグラーV,826,6776,1649,29,26,123.2,233.7,260.6
アロー池上,2024-07-15,マイジャグラーV,827,6122,205,26,13,157.0,235.5,470.9
アロー池上,2024-07-15,マイジャグラーV,828,4525,-987,13,12,181.0,348.1,377.1
アロー池上,2024-07-15,マイジャグラーV,829,5451,-708,17,13,181.7,320.6,419.3
アロー池上,2024-07-15,マイジャグラーV,830,7964,-205,26,28,147.5,306.3,284.4
アロー池上,2024-07-15,マイジャグラーV,831,4873,-1238,16,9,194.9,304.6,541.4
アロー池上,2024-07-15,マイジャグラーV,832,5245,-377,23,4,194.3,228.0,1311.2
アロー池上,2024-07-15,マイジャグラーV,833,5327,-391,20,13,161.4,266.4,409.8
アロー池上,2024-07-15,マイジャグラーV,834,5201,-1238,14,12,200.0,371.5,433.4
アロー池上,2024-07-15,マイジャグラーV,835,7103,-2076,17,21,186.9,417.8,338.2
アロー池上,2024-07-15,マイジャグラーV,836,6242,854,29,12,152.2,215.2,520.2
アロー池上,2024-07-15,マイジャグラーV,837,7847,-589,27,24,153.9,290.6,327.0
アロー池上,2024-07-15,マイジャグラーV,838,7211,86,28,22,144.2,257.5,327.8
アロー池上,2024-07-15,マイジャグラーV,839,7264,-655,24,23,154.6,302.7,315.8
アロー池上,2024-07-15,マイジャグラーV,840,8136,-483,25,32,142.7,325.4,254.2
アロー池上,2024-07-15,スマスロ北斗の拳,701,4672,1876,61,13,63.1,76.6,359.4
アロー池上,2024-07-15,スマスロ北斗の拳,702,4144,245,47,12,70.2,88.2,345.3
アロー池上,2024-07-15,スマスロ北斗の拳,703,5153,-99,54,12,78.1,95.4,429.4
アロー池上,2024-07-15,スマスロ北斗の拳,704,5671,815,62,20,69.2,91.5,283.6
アロー池上,2024-07-15,スマスロ北斗の拳,705,2976,2613,56,8,46.5,53.1,372.0
アロー池上,2024-07-15,スマスロ北斗の拳,706,5793,3626,86,22,53.6,67.4,263.3
アロー池上,2024-07-15,スマスロ北斗の拳,707,4824,-960,46,9,87.7,104.9,536.0
アロー池上,2024-07-15,スマスロ北斗の拳,708,6427,-785,69,11,80.3,93.1,584.3
アロー池上,2024-07-15,スマスロ北斗の拳,709,5653,4152,92,19,50.9,61.4,297.5
アロー池上,2024-07-15,スマスロ北斗の拳,710,5256,-1818,41,10,103.1,128.2,525.6
アロー池上,2024-07-15,スマスロ北斗の拳,711,4596,99,52,12,71.8,88.4,383.0
アロー池上,2024-07-15,スマスロ北斗の拳,712,6155,695,67,23,68.4,91.9,267.6
アロー池上,2024-07-15,スマスロ北斗の拳,713,3835,-642,36,11,81.6,106.5,348.6
アロー池上,2024-07-15,スマスロ北斗の拳,714,3801,1529,55,4,64.4,69.1,950.2
アロー池上,2024-07-15,スマスロ北斗の拳,715,5019,-1159,46,7,94.7,109.1,717.0
アロー池上,2024-07-15,スマスロ北斗の拳,726,3660,298,45,7,70.4,81.3,522.9
アロー池上,2024-07-15,スマスロ北斗の拳,727,5880,6644,108,25,44.2,54.4,235.2
アロー池上,2024-07-15,スマスロ北斗の拳,728,4908,-3189,28,10,129.2,175.3,490.8
アロー池上,2024-07-15,スマスロ北斗の拳,729,5592,3606,89,18,52.3,62.8,310.7
アロー池上,2024-07-15,スマスロ北斗の拳,730,2208,-2155,7,4,200.7,315.4,552.0
アロー池上,2024-07-15,スマスロ北斗の拳,731,3034,2553,52,8,50.6,58.3,379.2
アロー池上,2024-07-15,スマスロ北斗の拳,732,4401,7739,109,6,38.3,40.4,733.5
アロー池上,2024-07-15,スマスロ北斗の拳,733,2121,4066,55,2,37.2,38.6,1060.5
アロー池上,2024-07-15,スマスロ北斗の拳,734,5684,3805,82,26,52.6,69.3,218.6
アロー池上,2024-07-15,スマスロ北斗の拳,735,4338,-2275,29,12,105.8,149.6,361.5
アロー池上,2024-07-15,スマスロ北斗の拳,736,5797,-1579,47,17,90.6,123.3,341.0
アロー池上,2024-07-15,スマスロ北斗の拳,737,5374,338,58,13,75.7,92.7,413.4
アロー池上,2024-07-15,スマスロ北斗の拳,738,6914,1212,75,25,69.1,92.2,276.6
アロー池上,2024-07-15,スマスロ北斗の拳,739,5582,-109,65,11,73.4,85.9,507.5
アロー池上,2024-07-15,スマスロ北斗の拳,740,4346,-1798,33,7,108.7,131.7,620.9
アロー池上,2024-07-15,アイムジャグラーEX-TP,681,4627,-1996,9,12,220.3,514.1,385.6
アロー池上,2024-07-15,アイムジャグラーEX-TP,682,5028,-126,22,8,167.6,228.5,628.5
アロー池上,2024-07-15,アイムジャグラーEX-TP,683,4957,-881,16,12,177.0,309.8,413.1
アロー池上,2024-07-15,アイムジャグラーEX-TP,684,4855,-417,17,13,161.8,285.6,373.5
アロー池上,2024-07-15,アイムジャグラーEX-TP,685,5875,-470,21,17,154.6,279.8,345.6
アロー池上,2024-07-15,アイムジャグラーEX-TP,751,6925,272,22,34,123.7,314.8,203.7
アロー池上,2024-07-15,アイムジャグラーEX-TP,752,3750,-1013,13,3,234.4,288.5,1250.0
アロー池上,2024-07-15,アイムジャグラーEX-TP,753,6160,1106,28,14,146.7,220.0,440.0
アロー池上,2024-07-15,アイムジャグラーEX-TP,754,3624,-1238,10,8,201.3,362.4,453.0
アロー池上,2024-07-15,アイムジャグラーEX-TP,755,7664,2116,35,25,127.7,219.0,306.6
アロー池上,2024-07-15,アイムジャグラーEX-TP,756,6572,1225,30,17,139.8,219.1,386.6
アロー池上,2024-07-15,アイムジャグラーEX-TP,757,4334,1119,20,9,149.4,216.7,481.6
